name,brewer,style,abv,ratings,scoreOverall,scoreCategory,imageUrl
Narragansett Light,Narragansett Brewing Company,Pale Lager,3.8,13,11,79,https://static.pexels.com/photos/5249/bread-food-restaurant-people-medium.jpg
Cavalry Brewing Dog Soldier Golden Ale,Cavalry Brewing Company,Golden Ale/Blond Ale,4,11,39,48,https://static.pexels.com/photos/27431/pexels-photo-27431-medium.jpg
Erie Brewing Presque Isle Pilsner,Erie Brewing Company,Bohemian Pilsener,4,191,19,22,https://static.pexels.com/photos/8755/food-cold-wood-hand-medium.jpg
Figure Eight Where Lizards Dare,Figure Eight Brewing LLC,India Pale Ale (IPA),4,12,51,22,https://static.pexels.com/photos/2139/food-summer-party-dinner-medium.jpg
Philadelphia Walt Wit,Philadelphia Brewing Company,Belgian White (Witbier),4,113,40,43,https://static.pexels.com/photos/8859/drink-beer-medium.jpg
Cavalry Brewing Nomad Stout,Cavalry Brewing Company,Dry Stout,4.2,15,43,17,https://static.pexels.com/photos/1862/summer-sunshine-alcohol-drink-medium.jpg
Diamond Knot Blonde Ale,Diamond Knot Brewery,Golden Ale/Blond Ale,4.2,32,42,54,https://static.pexels.com/photos/8800/snow-restaurant-mountains-sky-medium.jpg
Hales Nut Brown Ale,Hales Ales,Brown Ale,4.2,54,45,41,https://static.pexels.com/photos/27891/pexels-photo-27891-medium.jpg
Narragansett Summer Ale,Narragansett Brewing Company,American Pale Ale,4.2,64,47,35,https://static.pexels.com/photos/9506/pexels-photo-medium.jpg
Philadelphia Fleur de Lehigh,Philadelphia Brewing Company,Spice/Herb/Vegetable,4.2,71,34,39,https://static.pexels.com/photos/8808/food-snow-wood-party-medium.jpg
Bent River Mississippi Blonde,Bent River Brewing Company,Golden Ale/Blond Ale,4.29,27,12,6,https://static.pexels.com/photos/852/restaurant-village-germany-chairs-medium.jpg
Dry Dock Hefeweizen (U-Boat),Dry Dock Brewing Co.,German Hefeweizen,4.3,51,85,98,https://static.pexels.com/photos/8055/drink-glass-theme-summer-bubles-medium.jpg
Blue Point Summer Ale,Blue Point Brewing,Golden Ale/Blond Ale,4.39,165,26,28,https://static.pexels.com/photos/7736/food-night-alcohol-beer-medium.jpg
Diamond Knot Industrial India Pale Ale,Diamond Knot Brewery,Imperial/Double IPA,7.9,292,97,81,https://static.pexels.com/photos/70598/pexels-photo-70598-medium.jpeg
Heretic Gramarye,Heretic Brewing Company,American Pale Ale,4.4,22,86,86,https://static.pexels.com/photos/9827/pexels-photo-9827-medium.jpeg
Pale Horse Stout,Pale Horse Brewing Company,Dry Stout,4.4,10,67,48,https://c3.staticflickr.com/1/23/32868954_d14a333716.jpg
High Noon Tonganoxie Honey Wheat,High Noon Saloon & Brewery,Wheat Ale,4.46,12,24,36,https://c1.staticflickr.com/4/3247/2701245064_5665b8ce86_m.jpg
American Brewing American Blonde,American Brewing Company,Golden Ale/Blond Ale,4.5,15,44,60,https://c5.staticflickr.com/4/3072/2967461916_e4fa7a3c16_n.jpg
Appalachian Mountain Lager,Appalachian Brewing Company (PA),Dortmunder/Helles,4.5,159,20,25,https://c1.staticflickr.com/4/3384/3337299224_161a1e398c_n.jpg
Appalachian Water Gap Wheat,Appalachian Brewing Company (PA),Wheat Ale,4.5,146,18,20,https://c1.staticflickr.com/9/8443/7867812000_5e74044090_m.jpg
Cavalry Brewing Hatch Plug Ale,Cavalry Brewing Company,English Pale Ale,4.5,14,23,24,https://c5.staticflickr.com/6/5070/5891097388_ce49551324_m.jpg
Eddyline Boater Beer Pils,Eddyline Restaurant and Brewery,Pilsener,4.5,13,19,46,https://c3.staticflickr.com/5/4130/5177190858_3252a18cec_m.jpg
Elysian Hansel & Gretel Ginger Pumpkin Pilsner,Elysian Brewing Co.,Spice/Herb/Vegetable,4.5,61,66,77,https://c4.staticflickr.com/4/3948/15305927187_c684b1e17e_n.jpg
Evil Genius Good n Evil,Evil Genius Beer Company,K__lsch,4.5,12,27,32,https://c8.staticflickr.com/6/5508/14518906855_0d3eb2d4af_m.jpg
Fort Collins 1900 Amber Lager,Fort Collins Brewery,Premium Lager,4.5,67,42,87,https://c8.staticflickr.com/7/6184/6098937623_f304b665dd_m.jpg
Fort Collins Kidd Black Lager (Schwarzbier),Fort Collins Brewery,Schwarzbier,4.5,350,91,97,https://c4.staticflickr.com/4/3926/14332445027_880e987cae_m.jpg
Fort Collins Z Lager,Fort Collins Brewery,Smoked,4.5,376,63,39,https://c5.staticflickr.com/4/3898/14715568988_0ced31dc26_m.jpg
High Noon Oregon Trail Raspberry Wheat,High Noon Saloon & Brewery,Fruit Beer,4.5,15,37,67,https://c1.staticflickr.com/3/2945/15492140112_3261f14f71_m.jpg
Highland Little Hump,Highland Brewing Company,American Pale Ale,4.5,82,78,73,https://c1.staticflickr.com/8/7179/6837827448_abfffdd8e6_m.jpg
Highland Razor Wit,Highland Brewing Company,Belgian White (Witbier),4.5,59,82,94,https://c6.staticflickr.com/9/8683/16478897917_70d799a59c_n.jpg
Lazy Magnolia Southern Pecan,Lazy Magnolia Brewing Company,Brown Ale,4.5,519,71,76,https://c6.staticflickr.com/6/5215/5422156565_6532f85bcb_m.jpg
Millstream German Pilsner,Millstream Brewing Company,Classic German Pilsener,4.5,23,54,95,https://c7.staticflickr.com/8/7424/9292798790_03410cb262_n.jpg
Millstream Windmill Wheat,Millstream Brewing Company,Wheat Ale,4.5,134,27,43,https://c5.staticflickr.com/6/5584/14691653076_1fcb3b4cb0_n.jpg
Odin Freyas Gold,Odin Brewing Company,K__lsch,4.5,36,47,77,https://c7.staticflickr.com/8/7083/7296760374_faf38f5924_m.jpg
Philadelphia Kenzinger,Philadelphia Brewing Company,Dortmunder/Helles,4.5,112,35,71,https://c3.staticflickr.com/1/23/32868954_d14a333716.jpg
Twisted Pine Ghost Face Killah,Twisted Pine Brewing,Spice/Herb/Vegetable,4.5,175,14,15,https://c1.staticflickr.com/4/3247/2701245064_5665b8ce86_m.jpg
Appalachian Susquehanna Stout,Appalachian Brewing Company (PA),Dry Stout,4.6,79,89,95,https://c5.staticflickr.com/4/3072/2967461916_e4fa7a3c16_n.jpg
Blue Point Blueberry Ale,Blue Point Brewing,Fruit Beer,4.6,294,49,85,https://c1.staticflickr.com/4/3384/3337299224_161a1e398c_n.jpg
Blue Point Pale Ale,Blue Point Brewing,American Pale Ale,4.6,121,81,77,https://c1.staticflickr.com/9/8443/7867812000_5e74044090_m.jpg
Brewers Alley Wedding Alt,Brewers Alley Restaurant & Brewery,Altbier,4.6,18,63,66,https://c5.staticflickr.com/6/5070/5891097388_ce49551324_m.jpg
Rahr & Sons Blonde Lager,Rahr & Sons Brewing,Dortmunder/Helles,4.6,117,24,34,https://c3.staticflickr.com/5/4130/5177190858_3252a18cec_m.jpg
Rio Grande Pancho Verde Chile Cerveza,Rio Grande Brewing Co. (Sierra Blanca Brewing),Spice/Herb/Vegetable,4.67,84,12,12,https://c4.staticflickr.com/4/3948/15305927187_c684b1e17e_n.jpg
Carolina Nut Brown Ale,Carolina Brewing Company,Brown Ale,4.7,77,79,87,https://c8.staticflickr.com/6/5508/14518906855_0d3eb2d4af_m.jpg
Evil Genius Pumplestiltskin,Evil Genius Beer Company,Golden Ale/Blond Ale,4.7,6,0,0,https://c8.staticflickr.com/7/6184/6098937623_f304b665dd_m.jpg
Rahr & Sons Rahrs Red,Rahr & Sons Brewing,Vien0,4.7,140,30,55,https://c4.staticflickr.com/4/3926/14332445027_880e987cae_m.jpg
Rahr & Sons Ugly Pug,Rahr & Sons Brewing,Schwarzbier,4.75,198,39,32,https://c5.staticflickr.com/4/3898/14715568988_0ced31dc26_m.jpg
